"author","coauthors"
"Catherine Oppenheim","Pascale Varlet"
"Catherine Oppenheim","Arnaud Cachia"
"Catherine Oppenheim","Duprez Thierry"
"Catherine Oppenheim","Gaillard Raphaël"
"Catherine Oppenheim","Laurent Pierot"
"Catherine Oppenheim","Marion Plaze"
"Catherine Oppenheim","Narly Golestani"
"Catherine Oppenheim","Anne Bertrand"
"Catherine Oppenheim","Thierry Galli"
"Di Rienzo Franck, Phd.","Aymeric Guillot"
"Di Rienzo Franck, Phd.","Collet Christian"
"Di Rienzo Franck, Phd.","Nady Hoyek"
"Di Rienzo Franck, Phd.","Thiago Ferreira Dias Kanthack"
"Di Rienzo Franck, Phd.","Sebastien Mateo"
"Di Rienzo Franck, Phd.","Stefan Vogt"
"Di Rienzo Franck, Phd.","Marco Sperduti"
"Di Rienzo Franck, Phd.","Jennifer Cumming"
"Di Rienzo Franck, Phd.","Sarah E Williams"
"Di Rienzo Franck, Phd.","Yoann Blache"
"Di Rienzo Franck, Phd.","Arnaud Saimpont"
"Di Rienzo Franck, Phd.","Rogowski Isabelle"
"Di Rienzo Franck, Phd.","Philip L. Jackson"
"Di Rienzo Franck, Phd.","Guillaume Martinent"
"Di Rienzo Franck, Phd.","Karim Jerbi, Phd"
"Di Rienzo Franck, Phd.","Christina Schmitz"
"Di Rienzo Franck, Phd.","Damien Saboul"
"Di Rienzo Franck, Phd.","Michel Clémençon"
"Di Rienzo Franck, Phd.","Sophie Schlatter"
"Marion Leboyer","Bruno Etain"
"Marion Leboyer","Thomas Bourgeron"
"Marion Leboyer","Josselin Houenou"
"Marion Leboyer","Catalina Betancur"
"Marion Leboyer","Guillaume Fond"
"Marion Leboyer","Tiziana Zalla"
"Marion Leboyer","Pierre A. Geoffroy"
"Marion Leboyer","Bruno Giros"
"Marion Leboyer","Pm Llorca"
"Marion Leboyer","Flávio Kapczinski"
"Kouloud Abichou","Pascale Piolino"
"Kouloud Abichou","Marco Sperduti"
"Kouloud Abichou","Serge Nicolas"
"Laurie Compère","Pascale Piolino"
"Laurie Compère","Catherine Oppenheim"
"Laurie Compère","Marco Sperduti"
"Laurie Compère","Krebs Marie-Odile"
"Marco Sperduti","Pascale Piolino"
"Marco Sperduti","Dominique Makowski"
"Marco Sperduti","Tiziana Zalla"
"Marco Sperduti","Catherine Oppenheim"
"Marco Sperduti","Serge Nicolas"
"Marco Sperduti","Krebs Marie-Odile"
"Marco Sperduti","Di Rienzo Franck, Phd."
"Marco Sperduti","Philippe Blondé"
"Marco Sperduti","Stephane Lemaire"
"Marco Sperduti","Eric Bertasi"
"Marco Sperduti","Aymeric Guillot"
"Marco Sperduti","Marion Leboyer"
"Marco Sperduti","Kouloud Abichou"
"Marco Sperduti","François Vialatte"
"Marco Sperduti","Giuseppina Porciello"
"Marco Sperduti","Laurie Compère"
"Marco Sperduti","Bufalari Ilaria"
"Marco Sperduti","Catherine Tallon-Baudry"
"Marco Sperduti","Allan Armougum"
"Marco Sperduti","Jean-Charles Girardeau"
"Marco Sperduti","Pascale Piolino"
"Marco Sperduti","Dominique Makowski"
"Marco Sperduti","Tiziana Zalla"
"Marco Sperduti","Catherine Oppenheim"
"Marco Sperduti","Serge Nicolas"
"Marco Sperduti","Krebs Marie-Odile"
"Marco Sperduti","Di Rienzo Franck, Phd."
"Marco Sperduti","Philippe Blondé"
"Marco Sperduti","Stephane Lemaire"
"Marco Sperduti","Eric Bertasi"
"Marco Sperduti","Aymeric Guillot"
"Marco Sperduti","Marion Leboyer"
"Marco Sperduti","Kouloud Abichou"
"Marco Sperduti","François Vialatte"
"Marco Sperduti","Giuseppina Porciello"
"Marco Sperduti","Laurie Compère"
"Marco Sperduti","Bufalari Ilaria"
"Marco Sperduti","Catherine Tallon-Baudry"
"Marco Sperduti","Allan Armougum"
"Marco Sperduti","Jean-Charles Girardeau"
"Marco Sperduti","Pascale Piolino"
"Marco Sperduti","Dominique Makowski"
"Marco Sperduti","Tiziana Zalla"
"Marco Sperduti","Catherine Oppenheim"
"Marco Sperduti","Serge Nicolas"
"Marco Sperduti","Krebs Marie-Odile"
"Marco Sperduti","Di Rienzo Franck, Phd."
"Marco Sperduti","Philippe Blondé"
